Neighborhood	Code	Description
5369.12	1801	FAIRDALE PLACE AT RICHMOND (Inactive)                                                                                   
5370.01	1806	RIPPLE CREEK                                                                                                            
5370.03	1806	CRAB ORCHARD                                                                                                            
5370.04	1806	AZAELEA                                                                                                                 
5370.05	1806	KERRY GLEN CONDO                                                                                                        
5370.06	1806	WOODWAY GLEN TH CONDO                                                                                                   
5370.08	1806	BAYOU GLEN TH                                                                                                           
5370.09	1832	KERRY GLEN CONDO II/PH I                                                                                                
5370.11	1806	6323 DEERWOOD ROAD CONDO                                                                                                
5371.01	1814	PINEHOLLOW (HI-RISE)                                                                                                    
5371.08	1809	AUGUSTA COURT CONDO                                                                                                     
5372.04	1829	WINHALL CONDO                                                                                                           
5381.02	1833	BRUN TH CONDO                                                                                                           
5381.05	1865	MIDDLE COURT TH CONDO                                                                                                   
5381.06	1833	HULDY TH CONDO                                                                                                          
5381.07	1833	RIVER OAKS GARDEN                                                                                                       
5382.04	1806	AVONDALE COURT TH CONDO                                                                                                 
5382.05	1831	TANGLEBROOK CONDOS                                                                                                      
5383.01	1841	RIVER OAKS PLACE                                                                                                        
5384.01	1833	COMMONWEALTH TH                                                                                                         
5384.02	1833	JACKSON COURT TH                                                                                                        
5384.03	1833	FAIRVIEW PLACE TH CONDO                                                                                                 
5384.04	1829	WOODLAND HEIGHTS CONDO                                                                                                  
5384.06	1829	STANFORD SQUARE CONDOS                                                                                                  
5384.07	1829	PICCADILLY CONDO                                                                                                        
5384.08	1829	STANFORD PLACE CONDOS                                                                                                   
5384.09	1829	CALIFORNIA SQUARE CONDO                                                                                                 
5385	1801	WELCH STREET CONDO                                                                                                      
5388.01	1802	WESTCOTT TERRACE                                                                                                        
5390.01	1807	HILLSIDE TH CONDO                                                                                                       
5390.04	1846	PARK MEMORIAL CONDO                                                                                                     
5390.05	1817	BAYOU BEND (HI-RISE)                                                                                                    
5390.07	1829	SANDMAN COURT CONDO                                                                                                     
5390.08	1861	AUGUSTA HILLS CONDO                                                                                                     
5391.03	1829	HARVARD HOUSE CONDO                                                                                                     
5393.01	1835	HIDDEN LAKE SEC I & II                                                                                                  
5394.01	1835	WHITE OAK CONDO SEC 1                                                                                                   
5394.02	1835	WHITE OAK CONDO SEC I & II                                                                                              
5394.03	1835	WOODLAND PARK CONDO                                                                                                     
5394.04	1801	114 EAST FIFTH CONDO                                                                                                    
5394.05	1801	WOODLAND PARK CONDO (HOUSTON AVE)                                                                                       
5394.06	1801	THE INDUSTRY CONDO                                                                                                      
5394.07	1801	SAWYER BROWNSTONES CONDO                                                                                                
5394.08	1801	FLOYD STREET T/H CONDO                                                                                                  
5394.09	1801	COLORADO LOFTS CONDO                                                                                                    
5394.1	1835	BELL HEIGHTS LOFTS CONDO                                                                                                
5395.01	1805	HARVARD GARDEN CONDO                                                                                                    
5395.03	1801	HEIGHTS BOULEVARD CONDO                                                                                                 
5395.04	1801	17TH STREET CONDO                                                                                                       
5395.05	1801	YALE STREET T/H CONDO                                                                                                   
5395.06	1812	THE HEIGHTS AT MADISON PARK CONDO                                                                                       
5395.07	1801	1342 RUTLAND LOFTS CONDO                                                                                                
5395.08	1812	HEIGHTS ABBEY CONDO                                                                                                     
5395.09	1801	BOULEVARD LOFTS CONDO (Inactive)                                                                                        
5395.11	1801	RUTLAND PARK CONDO                                                                                                      
5395.12	1801	MARINA STREET CONDO                                                                                                     
5395.13	1801	THE BIRDSALL CONDO                                                                                                      
5395.14	1801	MELROSE PARK CONDO                                                                                                      
5395.15	1801	THE FISCHER GARDENS CONDO                                                                                               
5395.16	1801	1111 STUDEWOOD PLACE CONDO AMEND                                                                                        
5395.17	1812	MORRISON MIDRISE CONDO                                                                                                  
5395.18	1801	STUDEMONT CONDO                                                                                                         
5423.01	1801	CAPISTRANO VILLAS                                                                                                       
5471.01	1829	BRIAR LEA TH                                                                                                            
5471.02	1829	CHARLESTON MANOR CONDO                                                                                                  
5480.02	1829	LAKESIDE GREEN CONDO                                                                                                    
5480.04	1829	RICHMOND MANOR CONDO PH I                                                                                               
5480.06	1829	REFLECTIONS ON THE LAKE                                                                                                 
5480.07	1829	REFLECTIONS ON GENTRYSIDE CNDO                                                                                          
5481.09	1829	LAKESIDE PARK TH APTS                                                                                                   
5482.08	1829	OAKS ON KIRKWOOD CONDO THE                                                                                              
5482.09	1829	LYNNBROOK MANOR SEC 1 & 2                                                                                               
5483.06	1821	LAKECREST TH CONDO                                                                                                      
5485.07	1829	SOUTHWOOD COLONY TH SEC 1                                                                                               
5486.03	1829	KENSWICK COURT CONDO                                                                                                    
5486.04	1806	OAKS OF BRITTANY                                                                                                        
5486.07	1842	MARLBOROUGH SQUARE CONDO PH II                                                                                          
5487.08	1821	ONE ASHFORD PLACE PH II                                                                                                 
5488.02	1829	MANSIONS OF SHADOWBRIAR                                                                                                 
5488.03	1829	CHALFONTE CONDO                                                                                                         
5491.05	1829	THE GARDENS CONDO                                                                                                       
5491.06	1829	DE GEORGE PARK CONDO                                                                                                    
5500	1819	WOODBRIDGE CROSSING CONDO                                                                                               
5500.01	1813	3525 SAGE ST COND (HI-RISE)                                                                                             
5501.01	1813	OXFORD THE (HI-RISE)                                                                                                    
5501.02	1832	CEDAR CREEK CONDO                                                                                                       
5501.04	1814	ST CLAIR CONDO THE (HI-RISE)                                                                                            
5501.05	1841	GALLERIA DIPLOMAT TH CONDO #2                                                                                           
5501.06	1854	LEXINGTON CONDO PH I                                                                                                    
5501.07	1856	MIDLANE COURT TH CONDO                                                                                                  
5501.09	1829	SAN FELIPE PARK CONDO                                                                                                   
5502.01	1803	COUNTRY SQUARE TH                                                                                                       
5502.02	1846	AMBASSADOR AT POST OAK 1 THE                                                                                            
5502.03	1803	5107 DEL MONTE T/H CONDO                                                                                                
5502.04	1803	LA CASA CONDO                                                                                                           
5502.05	1803	SAGEMONT TERRACE APTS CONDO                                                                                             
5502.07	1813	BRISTOL THE (HI-RISE)                                                                                                   
5502.08	1816	FOUR LEAF TOWERS (HI-RISE)                                                                                              
5502.11	1852	TURNBERRY GALLERIA TOWER CONDO                                                                                          
5502.12	1852	COSMOPOLITAN CONDO                                                                                                      
5502.13	1803	DEL MONTE HOMES CONDO                                                                                                   
5502.14	1803	5107 DEL MONTE T/H CONDO                                                                                                
5502.15	1803	DEL MONTE CONDO                                                                                                         
5503	1852	VILLA D'ESTE (HIGH RISE)                                                                                                
5503.01	1814	WOODWAY THE (HI-RISE)                                                                                                   
5503.02	1845	5025 RIVERWAY CONDO (Inactive)                                                                                          
5503.04	1810	EXECUTIVE HOUSE OF HOUSTON                                                                                              
5503.07	1852	MONTEBELLO                                                                                                              
5503.08	1803	LONDON SQUARE CONDO                                                                                                     
5503.09	1803	POST OAK TIMBERS                                                                                                        
5503.1	1852	BELFIORE CONDO                                                                                                          
5503.11	1812	58 BRIAR HOLLOW LANE CONDO                                                                                              
5503.12	1852	ROYALTON AT RIVER OAKS CONDO                                                                                            
5503.13	1808	TREE TOPS AT POST OAK CONDO                                                                                             
5503.14	1808	OAK LANE CONDO                                                                                                          
5503.15	1801	MID LANE SQUARE CONDO                                                                                                   
5503.16	1852	2727 KIRBY CONDO (HI-RISE)                                                                                              
5503.17	1801	AUDLEY PLACE CONDO                                                                                                      
5503.18	1852	ASTORIA CONDO                                                                                                           
5503.19	1852	THE RIVER OAKS CONDO                                                                                                    
5503.2	1852	1770 SOUTH POST OAK LANE CONDO                                                                                          
5504.01	1822	GLENMONT PLACE TH CONDO                                                                                                 
5504.02	1802	GALLERIA OAKS CONDO                                                                                                     
5504.03	1832	YORKTOWN TH CONDO                                                                                                       
5504.04	1822	BEVERLY HILL TH CONDO                                                                                                   
5504.07	1802	COURTYARDS CONDO THE                                                                                                    
5504.09	1820	2001 BERING DRIVE CONDO                                                                                                 
5505	1812	THE MARK                                                                                                                
5505.03	1832	BERING PLACE                                                                                                            
5505.04	1832	BANYOU CONDO                                                                                                            
5505.05	1832	BRIAR STATION WEST                                                                                                      
5505.07	1842	BEACON PLACE CONDO                                                                                                      
5505.08	1832	WINDSOR PARK TH CONDO PH I                                                                                              
5506.02	1816	ST JAMES CONDO (HI-RISE)                                                                                                
5506.03	1816	NINE OAKS CONDO 1ST AMEND                                                                                               
5506.07	1842	BERING OAKS                                                                                                             
5506.08	1842	GREENFIELD OAKS CONDO PH I                                                                                              
5506.09	1820	WOODGROVE CONDO                                                                                                         
5507.05	1806	OAKS OF WOODLAKE                                                                                                        
5507.07	1812	THE MERCER I CONDO                                                                                                      
5508.02	1821	"ONE ORLEANS PL CONDO 1,2A,2B                                                                                            "
5508.04	1830	TANGLEWILDE SOUTH CONDO SEC II                                                                                          
5508.05	1830	TANGLEWILDE SOUTH CONDO SEC. I                                                                                          
5508.06	1802	FAIRWAY GREEN TH CONDO                                                                                                  
5508.07	1803	DEERWOOD GARDENS CONDO                                                                                                  
5508.08	1821	ONE ORLEANS PLACE CONDO PH 2A                                                                                           
5508.09	1842	TIFFANY PLACE CONDO                                                                                                     
5509.01	1832	WOODWAY TH CONDO                                                                                                        
5509.02	1803	DILSTON HOUSE CONDO                                                                                                     
5509.03	1803	BAXTER HOUSE                                                                                                            
5509.04	1806	STONEYBROOK TH CONDO                                                                                                    
5509.05	1832	BEVERLY PLACE CONDO                                                                                                     
5509.06	1803	MARBLE ARCH TH CONDO                                                                                                    
5509.07	1820	SOUTH VOSS CONDO                                                                                                        
5509.08	1806	WOODWAY VLG TH CONDO                                                                                                    
5509.09	1803	WHARTON HOUSE CONDO                                                                                                     
5510.07	1801	LEE HO T/H CONDO                                                                                                        
5510.09	1832	HAMLET OF CHERBORG                                                                                                      
5511.01	1823	BELLERIVE CONDO                                                                                                         
5511.02	1802	SUMMERSET LANDING CONDO PH. 1-4                                                                                         
5511.04	1823	FONDREN TH                                                                                                              
5511.05	1802	FRENCH QUARTER TH                                                                                                       
5511.06	1823	FONDREN TH 2                                                                                                            
5511.07	1809	SUSSEX EAST & WEST (HI-RISE)                                                                                            
5511.08	1823	SUMMERSET LANDING CONDO PH 1-4                                                                                          
5511.09	1819	CEDAR MILL CONDO PH I & II                                                                                              
5512.01	1809	CONQUISTADOR THE (HI-RISE)                                                                                              
5512.02	1802	DE MOSS VILLAGE                                                                                                         
5512.03	1823	SANDSPOINT CONDO                                                                                                        
5512.05	1823	SILVERFIELD CONDO I                                                                                                     
5512.06	1823	SILVERFIELD CONDO II                                                                                                    
5512.07	1823	SANDSPOINT WEST CONDO                                                                                                   
5512.08	1833	BRANDY CREEK CONDO                                                                                                      
5512.09	1832	TOWNHOUSE ON THE PARK CONDO                                                                                             
5513	1802	WESTWARD PLACE CONDO                                                                                                    
5513.01	1820	TAMMERAND CONDO                                                                                                         
5513.02	1832	CHAMBORD CONDO THE PH A                                                                                                 
5513.04	1832	REGENCY COURT TH CONDO                                                                                                  
5513.05	1832	HARBORGREEN CONDO                                                                                                       
5513.06	1845	2400 BERING DRIVE CONDO                                                                                                 
5513.08	1801	PINEY POINT PLACE CONDO                                                                                                 
5513.09	1829	TRAILS OF WOODLAKE CONDO                                                                                                
5513.11	1801	CONTEMPORARY WEST T/H CONDO                                                                                             
5514	1803	LANCER TH CONDO                                                                                                         
5514.01	1832	CHAMBORD CONDO THE PH B                                                                                                 
5514.02	1823	DE MOSS CONDO                                                                                                           
5515	1823	BRIAR TRACE CONDO                                                                                                       
5515.01	1823	CONTEMPORARY WESTHEIMER T/H CONDO                                                                                       
5516.01	1805	PALM GDNS CONDO                                                                                                         
5516.02	1805	SANDSPOINT TH                                                                                                           
5516.03	1805	PINE STREET VILLA CONDO                                                                                                 
5518	1826	FERRIS CONDO REGIME                                                                                                     
5518.01	1801	THE BELLAIRE CONDO                                                                                                      
5519.04	1832	TANGLEWILDE CONDO                                                                                                       
5520.06	1801	BELLAIRE T/H                                                                                                            
5520.09	1818	NEWCASTLE AT TOWN PLAZA PH II                                                                                           
5521.02	1841	TWIN OAKS TH CONDO                                                                                                      
5521.04	1856	AFTON OAKS TH CONDO                                                                                                     
5521.05	1865	FORESTERS POND                                                                                                          
5521.06	1810	WILLOWWICK CONDO                                                                                                        
5521.07	1801	RIVER OAKS TH CONDO                                                                                                     
5521.08	1801	THE BOSTONIAN RESERVE CONDO                                                                                             
5522.03	1807	HAMLET TH CONDO                                                                                                         
5522.04	1824	VILLAGE TH CONDO                                                                                                        
5522.06	1842	HAMPTON OAKS CONDO                                                                                                      
5522.09	1841	PARK ST JOHN CONDO                                                                                                      
5523.03	1801	DORRINGTON SQUARE CONDO                                                                                                 
5523.06	1857	WEST UNIVERSITY TH                                                                                                      
5523.11	1812	EMPIRE CONDO                                                                                                            
5523.12	1812	THE BRIARGLEN CONDO                                                                                                     
5523.13	1812	HIGHLAND TOWER CONDO                                                                                                    
5524	1812	THE TANGLEWOOD CONDO                                                                                                    
5524.01	1812	VENTI CONDO                                                                                                             
5524.02	1801	PARK LOFTS CONDO                                                                                                        
5524.05	1812	MANHATTAN CONDO                                                                                                         
5524.06	1801	SEVEN GABLES CONDO                                                                                                      
5524.07	1807	UNIVERSITY PARK PLACE CONDO                                                                                             
5524.08	1844	CHELSEA TH                                                                                                              
5524.09	1801	AUTREY TH CONDO                                                                                                         
5524.11	1801	VALENCIA HYDE PARK CONDO                                                                                                
5524.12	1801	LA BRANCH STREET T/H CONDO                                                                                              
5524.13	1812	2400 MCCUE CONDO                                                                                                        
5524.14	1812	THE LOFTS ON POST OAK CONDO                                                                                             
5524.15	1801	RUSHMORE LOFTS CONDO                                                                                                    
5524.16	1801	CHENEVERT AND TUAM CONDO                                                                                                
5524.17	1801	LIVE OAK LOFTS CONDO                                                                                                    
5524.18	1801	BALLPARK MEWS CONDO                                                                                                     
5524.19	1801	ELLIE LOFTS CONDO                                                                                                       
5524.21	1801	CHENEVERT TWO CONDO                                                                                                     
5524.22	1801	DELANO PLACE CONDO                                                                                                      
5524.23	1801	PHOENICIAN AT AUSTIN CONDO                                                                                              
5524.24	1801	CHENEVERT CONDO                                                                                                         
5524.25	1801	LOVETT PLACE CONDO                                                                                                      
5524.26	1801	PROMENADE PLACE CONDO                                                                                                   
5524.27	1801	1219 RESIDENCES CONDO                                                                                                   
5525	1812	MEMORIAL COVE LOFTS                                                                                                     
5525.02	1801	THE OAKS@WEST UNIVERSITY CONDO                                                                                          
5525.03	1852	HUNTINGDON THE (HI-RISE)                                                                                                
5525.04	1801	THE RENAISSANCE OF RIVER OAKS                                                                                           
5525.06	1829	1919 UNIVERSITY CONDO                                                                                                   
5525.07	1829	PURDUE COURT T/H CONDO                                                                                                  
5525.09	1829	AUTREY PLACE CONDO                                                                                                      
5525.11	1801	REATA AT RIVER OAKS CONDO                                                                                               
5525.12	1812	JACKSON PLACE CONDO                                                                                                     
5525.13	1801	WINDSOR PLACE CONDO                                                                                                     
5525.14	1801	FLATS ON JACKSON HILL I & II CONDO                                                                                      
5525.15	1812	PIEDMONT AT RIVER OAKS CONDO                                                                                            
5525.16	1812	MEMORIAL PARK APARTMENT CONDO                                                                                           
5525.17	1801	MONROE AT BAYOU PARK CONDO                                                                                              
5526	1812	METROPOLIS CONDO (HI-RISE)                                                                                              
5526.01	1812	GOTHAM CONDO (HI-RISE)                                                                                                  
5526.02	1812	IL PALAZZO                                                                                                              
5526.03	1801	FLORENTINE CONDOS                                                                                                       
5526.04	1812	KEYSTONE LOFTS CONDOS                                                                                                   
5526.05	1812	BAYOU LOFT CONDOMINIUMS                                                                                                 
5526.06	1812	RENOIR CONDMINIUMS                                                                                                      
5526.07	1812	THE CAPITOL LOFTS                                                                                                       
5526.08	1812	2520 ROBINHOOD AT KIRBY                                                                                                 
5526.09	1812	WASHINGTON PLACE LOFTS CONDOS                                                                                           
5526.11	1801	UNION SQUARE CONDO                                                                                                      
5526.12	1801	NUMBER 17 WAUGH CONDO                                                                                                   
5526.13	1812	7575 KIRBY CONDO                                                                                                        
5526.14	1812	KIRBY LOFTS CONDO                                                                                                       
5526.15	1812	ST. GERMAIN LOFTS CONDO                                                                                                 
5526.16	1812	BYRDS LOFTS CONDO                                                                                                       
5526.17	1812	RISE CONDO                                                                                                              
5526.18	1812	THE EDGE CONDO (HI-RISE)                                                                                                
5526.19	1812	TRAVIS LOFTS CONDO                                                                                                      
5526.2	1812	MORNINGSIDE MANSIONS CONDO                                                                                              
5527	1812	HERMANN LOFTS (HI-RISE )                                                                                                
5527.01	1824	STRATFORD PLACE                                                                                                         
5527.02	1801	KIPLING ARMS CONDO                                                                                                      
5527.05	1801	MONTROSE PLACE CONDO                                                                                                    
5527.06	1801	KIPLING VILLAGE TH CONDO                                                                                                
5527.07	1809	PARK FOUR & FIVE (HI-RISE)                                                                                              
5527.08	1629	ROYAL BROOK CONDO                                                                                                       
5528	1812	COLUMBUS DOWNTOWN VIEW CONDO                                                                                            
5528.01	1812	COMMERCE TOWER                                                                                                          
5528.02	1833	MANDELL TH CONDO                                                                                                        
5528.03	1812	FRANKLIN LOFTS                                                                                                          
5528.04	1833	AMANDA TH CONDO                                                                                                         
5528.08	1812	ONE MONTROSE PLACE CONDO                                                                                                
5528.09	1856	OAKS OF RIVER OAKS CONDO                                                                                                
5528.11	1812	PRIVATE RESIDENCES CONDOMINIUM                                                                                          
5528.12	1812	TREMONT TOWER CONDO                                                                                                     
5528.13	1801	HAROLD CONDO                                                                                                            
5529.01	1801	PORTSMOUTH TH CONDO                                                                                                     
5529.02	1841	PECKHAM CONDO                                                                                                           
5529.03	1801	VIEUX CARRE CONDO                                                                                                       
5529.04	1829	RIVER OAKS MANOR TH CONDO                                                                                               
5529.05	1833	WOODHEAD TH CONDO                                                                                                       
5529.06	1865	PRENTISS CONDO                                                                                                          
5529.08	1801	MARYLAND COURT                                                                                                          
5529.1	1812	2120 KIPLING CONDO                                                                                                      
5530	1865	MUSGRAVE MEWS CONDO                                                                                                     
5530.01	1810	INWOOD MANOR (HI-RISE)                                                                                                  
5530.02	1841	WICKWILLOW CONDO                                                                                                        
5530.03	1818	3131 CUMMINS LANE CONDO                                                                                                 
5530.04	1801	SUMMIT COURT                                                                                                            
5530.05	1801	GREENWAY OAKS                                                                                                           
5530.06	1801	FLEUR DE LIS GARDEN COURT HM                                                                                            
5530.07	1801	LAMAR TH CONDO                                                                                                          
5530.08	1812	LAMAR TOWER THE (HI-RISE)                                                                                               
5530.09	1865	2516 COMMONWEALTH TH CONDO                                                                                              
5530.1	1865	1410 HYDE PARK CONDO                                                                                                    
5531.01	1801	THIRTEEN O FIVE TAFT ST (Inactive)                                                                                      
5531.03	1845	MADISON PLACE                                                                                                           
5531.04	1865	MIMOSA TH CONDO                                                                                                         
5531.05	1801	RIVER OAKS MANOR                                                                                                        
5531.06	1812	1400 HERMAN (HI-RISE)                                                                                                   
5531.07	1801	SLS CONDO                                                                                                               
5531.08	1801	RUTHLAND CONDO                                                                                                          
5531.09	1801	AUDUBON PLACE                                                                                                           
5531.1	1852	CHATEAU 10 CONDO AMEND                                                                                                  
5532.02	1841	GRAUSTARK TH                                                                                                            
5532.04	1829	KIPLING PLACE T/H CONDO                                                                                                 
5532.05	1829	ISABELLA CONDO                                                                                                          
5532.06	1842	HULDY ST CONDO                                                                                                          
5533.02	1833	LE MANS TH CONDO                                                                                                        
5533.03	1815	GREENWAY I CONDO (HI-RISE)                                                                                              
5533.04	1815	GREENWAY II CONDO (HI-RISE)                                                                                             
5533.06	1801	1912 CALUMET PLACE CONDO                                                                                                
5533.07	1801	100 MCGOWEN CONDO                                                                                                       
5533.08	1801	VILLA SERENA FLATS CONDO                                                                                                
5533.09	1801	THE PARKER LOFTS                                                                                                        
5533.11	1801	118 MCGOWEN CONDO                                                                                                       
5533.12	1801	202 MCGOWEN CONDO                                                                                                       
5533.13	1801	VILLA HELENA CONDO                                                                                                      
5533.14	1801	COOK STREET CONDO                                                                                                       
5533.15	1812	THE VISTAS AT MIDTOWN CONDO                                                                                             
5533.16	1801	ROSEWOOD T/H CONDO                                                                                                      
5533.17	1801	CAMDEN COMMONS CONDO                                                                                                    
5533.18	1801	THE COLUMBUS FLATS CONDO                                                                                                
5533.19	1801	ZEN PARK VIEW TOWNHOMES CONDO                                                                                           
5533.21	1801	THE MIRABEAU B @ HYDE PARK CONDO                                                                                        
5533.22	1801	THE PIERCE STREET FLATS CONDO                                                                                           
5534	1801	WEST WEBSTER LOFTS CONDO                                                                                                
